Total_Units,Average_Price_Cr,Current_Leads,Site_Visits,Marketing_Spend_Lakh,Broker_Leads,Previous_Month_Bookings,Avg_3_Month_Bookings,Avg_6_Month_Bookings,Previous_Month_Revenue_Cr,Bookings
80,1.05,150,55,1.8,25,7,7.0,6.5,7.2,10
90,1.10,175,62,2.0,30,8,8.0,7.2,8.4,11
100,1.15,190,70,2.2,35,9,8.7,7.8,10.1,12
110,1.20,210,78,2.5,40,10,9.5,8.5,11.8,14
120,1.25,230,85,2.7,45,11,10.3,9.2,13.5,15
130,1.30,250,92,3.0,50,12,11.2,10.0,15.6,17
140,1.35,270,100,3.2,55,13,12.0,10.8,17.5,18
150,1.40,290,108,3.5,60,14,13.0,11.5,19.2,20
100,1.18,200,75,2.4,38,9,9.3,8.2,10.6,13
105,1.22,220,82,2.6,42,10,9.7,8.8,12.1,14
115,1.28,240,90,2.9,47,11,10.5,9.4,14.3,16
125,1.32,260,96,3.1,52,12,11.3,10.1,16.0,17
135,1.38,280,105,3.4,58,13,12.2,10.9,18.2,19
145,1.45,310,115,3.8,65,15,13.8,12.0,21.4,22
155,1.50,330,123,4.0,70,16,15.0,13.0,24.0,23
90,1.08,160,58,1.9,28,7,7.5,6.8,7.6,10
95,1.12,185,68,2.1,33,8,8.2,7.5,9.0,12
108,1.25,215,80,2.5,41,10,9.5,8.5,12.5,14
118,1.30,235,88,2.8,46,11,10.2,9.0,14.0,15
128,1.36,255,95,3.0,51,12,11.0,9.8,16.3,17
138,1.42,275,103,3.3,56,14,12.5,11.0,19.0,19
148,1.48,300,112,3.6,62,15,14.0,12.2,22.0,21
158,1.55,325,120,4.1,68,17,15.3,13.5,25.5,24
102,1.20,205,76,2.3,37,9,9.0,8.0,10.8,13
112,1.27,225,84,2.7,43,10,9.8,8.7,12.7,15
122,1.33,245,91,3.0,49,12,10.8,9.5,15.9,16
132,1.39,265,99,3.2,54,13,12.0,10.5,18.1,18
142,1.46,285,107,3.5,59,14,13.0,11.5,20.4,20
152,1.52,305,116,3.9,64,16,14.3,12.8,23.5,22
160,1.60,350,130,4.5,75,18,16.0,14.0,28.8,26
102,1.35,320,135,3.5,85,17,15.0,13.0,23.0,20
